17889,State,PopulationLatitude,,Longitude
Flora,Illinois,4852,38.6689,-88.4759
Flora,Indiana,2002,40.5455,-86.5226
Flora,Mississippi,1862,32.5433,-90.3141
Floral Park,New York,15844,40.7226,-73.7029
Florala,Alabama,1906,31.0176,-86.3138
Flordell Hills,Missouri,802,38.7174,-90.2648
Florence,Alabama,40797,34.8303,-87.6654
Florence,Arizona,27422,33.059,-111.421
Florence,Colorado,3944,38.3836,-105.111
Florence,Illinois,37,39.6288,-90.6108
Florence,Kansas,435,38.2431,-96.9293
Florence,Kentucky,33004,38.99,-84.647
Florence,Minnesota,36,44.2372,-96.0517
Florence,Mississippi,4494,32.1557,-90.1225
Florence,Oregon,9151,43.9914,-124.106
Florence,South Carolina,38531,34.1781,-79.7877
Florence,South Dakota,360,45.0548,-97.3262
Florence,Texas,1274,30.8406,-97.7927
Florence,Wisconsin,1943,45.925,-88.2525
Floresville,Texas,8045,29.14,-98.163
Florida,New York,2919,41.3312,-74.3533
Florida,Ohio,214,41.3237,-84.2004
Florida City,Florida,11771,25.4418,-80.4685
Florien,Louisiana,599,31.448,-93.4584
Floris,Iowa,143,40.864,-92.3322
Florissant,Missouri,50952,38.7996,-90.3269
Flossmoor,Illinois,9155,41.5391,-87.6857
Flovilla,Georgia,660,33.2524,-83.903
Flower Hill,New York,4889,40.8075,-73.6755
Flower Mound,Texas,79135,33.0344,-97.1146
Flowery Branch,Georgia,8325,34.1713,-83.9142
Flowood,Mississippi,9380,32.3359,-90.0802
Floyd,Iowa,315,43.1282,-92.7402
Floyd,New Mexico,110,34.229,-103.552
Floyd,Virginia,436,36.9118,-80.3184
Floydada,Texas,2676,33.9835,-101.337
Flushing,Michigan,7880,43.0637,-83.8403
Flushing,Ohio,832,40.1481,-81.0644
Foley,Alabama,20391,30.3983,-87.6649
Foley,Minnesota,2673,45.6636,-93.9095
Foley,Missouri,173,39.0458,-90.7414
Folkston,Georgia,5037,30.8393,-82.0073
Follansbee,West Virginia,2710,40.3385,-80.5976
Follett,Texas,441,36.434,-100.141
Folly Beach,South Carolina,2660,32.6693,-79.95
Folsom,California,81328,38.6668,-121.142
Folsom,Louisiana,862,30.6304,-90.1947
Folsom,New Mexico,57,36.8478,-103.918
Fond du Lac,Wisconsin,43263,43.7718,-88.4396
Fonda,Iowa,575,42.5816,-94.8457
Fonda,New York,752,42.9536,-74.372
Fontana,California,214547,34.0968,-117.46
Fontana,Kansas,239,38.4239,-94.8442
Fontana Dam,North Carolina,7,35.4328,-83.8248
Fontana-on-Geneva Lake,Wisconsin,1741,42.5453,-88.5702
Fontanelle,Iowa,622,41.29,-94.5602
Foosland,Illinois,98,40.3611,-88.4291
Footville,Wisconsin,831,42.6715,-89.2084
Forada,Minnesota,190,45.7884,-95.3567
Foraker,Oklahoma,18,36.8722,-96.5691
Forbes,North Dakota,44,45.9425,-98.782
Ford,Kansas,216,37.6366,-99.7538
Ford Heights,Illinois,2682,41.5109,-87.5814
Fordland,Missouri,846,37.1556,-92.9416
Fordoche,Louisiana,913,30.594,-91.6179
Fordsville,Kentucky,530,37.6356,-86.7171
Fordville,North Dakota,198,48.2166,-97.7954
Fordyce,Arkansas,3705,33.8181,-92.4174
Fordyce,Nebraska,131,42.6983,-97.3628
Foreman,Arkansas,926,33.7198,-94.3979
Forest,Louisiana,337,32.7924,-91.4125
Forest,Mississippi,5536,32.3595,-89.4761
Forest,Ohio,1431,40.8051,-83.5116
Forest Acres,South Carolina,10298,34.0324,-80.9716
Forest City,Illinois,225,40.3723,-89.8325
Forest City,Iowa,4025,43.257,-93.6365
Forest City,Missouri,246,39.9829,-95.1883
Forest City,North Carolina,7162,35.3338,-81.8702
Forest Grove,Oregon,25553,45.5244,-123.11
Forest Heights,Maryland,2564,38.8105,-76.9995
Forest Hill,Louisiana,843,31.0478,-92.5241
Forest Hill,Texas,12988,32.6619,-97.2662
Forest Hills,Kentucky,458,38.2158,-85.5837
Forest Hills,North Carolina,374,35.2958,-83.1954
Forest Hills,Tennessee,4820,36.0651,-86.8403
Forest Lake,Minnesota,20933,45.2536,-92.9583
Forest Park,Georgia,20020,33.6209,-84.359
Forest Park,Illinois,13704,41.8683,-87.8157
Forest Park,Ohio,18583,39.2861,-84.5259
Forest Park,Oklahoma,1069,35.5095,-97.4469
Forest River,North Dakota,121,48.2166,-97.4703
Forest View,Illinois,666,41.8073,-87.7798
Foreston,Minnesota,533,45.7321,-93.7095
Forestville,Michigan,127,43.66,-82.6125
Forestville,Wisconsin,1099,44.6907,-87.4787
Forgan,Oklahoma,529,36.9068,-100.538
Foristell,Missouri,606,38.8156,-90.9626
Forkland,Alabama,588,32.6489,-87.8671
Forks,Washington,3880,47.9528,-124.39
Forman,North Dakota,504,46.104,-97.6369
Formoso,Kansas,86,39.7784,-97.9927
Forney,Texas,27236,32.744,-96.4529
Forrest,Illinois,1135,40.7511,-88.4097
Forrest City,Arkansas,13820,35.0135,-90.7931
Forreston,Illinois,1341,42.1273,-89.5784
Forsan,Texas,229,32.1104,-101.367
Forsyth,Georgia,4130,33.0347,-83.9381
Forsyth,Illinois,3479,39.9259,-88.964
Forsyth,Missouri,2560,36.686,-93.1016
Forsyth,Montana,1770,46.2669,-106.675
Fort Atkinson,Iowa,320,43.1442,-91.9344
Fort Atkinson,Wisconsin,12422,42.9253,-88.8441
Fort Benton,Montana,1432,47.8291,-110.656
Fort Bragg,California,7291,39.4399,-123.801
Fort Branch,Indiana,2766,38.2461,-87.5734
Fort Calhoun,Nebraska,980,41.4563,-96.0263
Fort Cobb,Oklahoma,609,35.1041,-98.4417
Fort Coffee,Oklahoma,422,35.2942,-94.5726
Fort Collins,Colorado,170243,40.5478,-105.066
Fort Deposit,Alabama,1155,31.9863,-86.5664
Fort Dodge,Iowa,23888,42.5098,-94.1751
Fort Gaines,Georgia,963,31.6238,-85.0528
Fort Gay,West Virginia,689,38.1201,-82.5948
Fort Gibson,Oklahoma,3958,35.7766,-95.2599
Fort Jennings,Ohio,488,40.9067,-84.2997
Fort Johnson,New York,464,42.9591,-74.2381
Fort Jones,California,692,41.6085,-122.841
Fort Laramie,Wyoming,227,42.2133,-104.518
Fort Lauderdale,Florida,182437,26.1412,-80.1464
Fort Lawn,South Carolina,886,34.7003,-80.8991
Fort Loramie,Ohio,1523,40.3442,-84.3696
Fort Lupton,Colorado,8317,40.0831,-104.802
Fort Madison,Iowa,10321,40.6207,-91.3509
Fort Meade,Florida,6257,27.7645,-81.8058
Fort Mill,South Carolina,22284,35.0062,-80.9388
Fort Mitchell,Kentucky,8241,39.0459,-84.5563
Fort Morgan,Colorado,11463,40.2538,-103.791
Fort Myers,Florida,87103,26.6195,-81.8303
Fort Myers Beach,Florida,7094,26.4324,-81.9168
Fort Oglethorpe,Georgia,9994,34.9319,-85.246
Fort Payne,Alabama,14074,34.4557,-85.6965
Fort Peck,Montana,239,48.007,-106.455
Fort Pierce,Florida,46103,27.4256,-80.3431
Fort Pierre,South Dakota,2217,44.368,-100.383
Fort Plain,New York,2224,42.9316,-74.6277
Fort Ransom,North Dakota,75,46.5244,-97.9311
Fort Recovery,Ohio,1458,40.4112,-84.7761
Fort Ripley,Minnesota,67,46.169,-94.363
Fort Scott,Kansas,7697,37.8283,-94.7038
Fort Smith,Arkansas,87891,35.3493,-94.3695
Fort Stockton,Texas,8421,30.8926,-102.884
Fort Sumner,New Mexico,897,34.479,-104.233
Fort Supply,Oklahoma,320,36.5722,-99.5736
Fort Thomas,Kentucky,16263,39.0802,-84.4518
Fort Towson,Oklahoma,489,34.0244,-95.2972
Fort Valley,Georgia,8962,32.552,-83.8819
Fort Walton Beach,Florida,22521,30.4249,-86.6194
Fort Wayne,Indiana,270402,41.0886,-85.1437
Fort White,Florida,600,29.9224,-82.7135
Fort Worth,Texas,909585,32.7811,-97.3473
Fort Wright,Kentucky,5745,39.0462,-84.5362
Fort Yates,North Dakota,202,46.0866,-100.63
Fortescue,Missouri,29,40.0519,-95.3176
Fortuna,California,12259,40.5862,-124.142
Fortuna,North Dakota,21,48.9099,-103.778
Fortville,Indiana,4162,39.9247,-85.8465
Foss,Oklahoma,145,35.4501,-99.1707
Fossil,Oregon,438,44.9981,-120.215
Fosston,Minnesota,1464,47.5855,-95.7579
Foster,Missouri,111,38.1664,-94.5079
Foster,Nebraska,51,42.2747,-97.6651
Foster,Oklahoma,161,34.5941,-97.4928
Foster City,California,33901,37.5553,-122.266
Fostoria,Iowa,223,43.243,-95.155
Fostoria,Ohio,13225,41.1601,-83.412
Fouke,Arkansas,878,33.2622,-93.8852
Fountain,Colorado,30735,38.6886,-104.683
Fountain,Michigan,198,44.0484,-86.181
Fountain,Minnesota,399,43.7426,-92.1342
Fountain,North Carolina,435,35.672,-77.6308
Fountain City,Indiana,756,39.9548,-84.9193
Fountain City,Wisconsin,861,44.1201,-91.697
Fountain Green,Utah,1166,39.6281,-111.641
Fountain Hill,Arkansas,158,33.3576,-91.8511
Fountain Hills,Arizona,25200,33.6073,-111.74
Fountain Inn,South Carolina,10441,34.6994,-82.1999
Fountain Lake,Arkansas,573,34.6121,-92.9233
Fountain N' Lakes,Missouri,182,38.9689,-90.8493
Fountain Run,Kentucky,209,36.7238,-85.9561
Fountain Valley,California,55357,33.7105,-117.951
Four Oaks,North Carolina,2254,35.4454,-78.4164
Fourche,Arkansas,63,34.9933,-92.6189
Fowler,California,6790,36.6243,-119.674
Fowler,Colorado,1141,38.1304,-104.026
Fowler,Indiana,2302,40.617,-87.3184
Fowler,Kansas,517,37.3827,-100.196
Fowler,Michigan,1222,43.0041,-84.7411
Fowlerton,Indiana,253,40.4095,-85.5728
Fowlerville,Michigan,2893,42.6596,-84.0743
Fox Chase,Kentucky,487,38.046,-85.6911
Fox Crossing,Wisconsin,19012,44.2229,-88.4763
Fox Lake,Illinois,10451,42.4239,-88.1844
Fox Lake,Wisconsin,2740,43.5618,-88.913
Fox Point,Wisconsin,6543,43.1581,-87.9013
Fox River Grove,Illinois,4573,42.1955,-88.2147
Foxfield,Colorado,782,39.5881,-104.786
Foxfire,North Carolina,1042,35.179,-79.564
Foxhome,Minnesota,111,46.2769,-96.3122
Foyil,Oklahoma,378,36.4309,-95.5215
Framingham,Massachusetts,74416,42.3085,-71.4368
Francesville,Indiana,797,40.9853,-86.8834
Francis,Oklahoma,320,34.8743,-96.5926
Francis,Utah,1574,40.6105,-111.274
Francis Creek,Wisconsin,640,44.2005,-87.7208
Francisco,Indiana,554,38.3327,-87.4481
Frankenmuth,Michigan,5529,43.3321,-83.7395
Frankford,Delaware,987,38.5215,-75.2342
Frankford,Missouri,314,39.4934,-91.3209
Frankfort,Illinois,19373,41.4887,-87.8361
Frankfort,Indiana,15884,40.281,-86.5213
Frankfort,Kansas,695,39.704,-96.417
Frankfort,Kentucky,27755,38.1924,-84.8643
Frankfort,Michigan,1290,44.6361,-86.2332
Frankfort,Ohio,1048,39.4069,-83.1842
Frankfort,South Dakota,151,44.8777,-98.3092
Franklin,Alabama,512,32.4514,-85.7864
Franklin,Arkansas,191,36.1727,-91.7697
Franklin,Georgia,971,33.2797,-85.0985
Franklin,Idaho,835,42.0124,-111.804
Franklin,Illinois,598,39.6205,-90.0477
Franklin,Indiana,25608,39.4938,-86.0546
Franklin,Iowa,132,40.6668,-91.5119
Franklin,Kentucky,9010,36.7178,-86.5595
Franklin,Louisiana,6709,29.7851,-91.5098
Franklin,Michigan,3246,42.5187,-83.303
Franklin,Minnesota,469,44.531,-94.8851
Franklin,Missouri,93,39.0112,-92.755
Franklin,Nebraska,910,40.0966,-98.9514
Franklin,New Hampshire,8686,43.4499,-71.6691
Franklin,New York,2254,42.3416,-75.1659
Franklin,North Carolina,4105,35.1798,-83.3808
Franklin,Ohio,11612,39.5538,-84.295
Franklin,Pennsylvania,6013,41.3936,-79.8425
Franklin,Tennessee,83097,35.9216,-86.8525
Franklin,Texas,1645,31.0251,-96.4874
Franklin,Virginia,7967,36.6831,-76.9386
Franklin,West Virginia,642,38.6452,-79.3332
Franklin,Wisconsin,35811,42.8854,-88.0104
Franklin Grove,Illinois,938,41.8409,-89.3005
Franklin Park,Illinois,17627,41.9361,-87.8794
Franklin Springs,Georgia,1192,34.284,-83.1459
Franklinton,Louisiana,3745,30.8479,-90.1459
Franklinton,North Carolina,2241,36.1011,-78.4523
Franklinville,North Carolina,1187,35.7421,-79.6893
Frankston,Texas,1170,32.0561,-95.5043
Frankton,Indiana,1836,40.2211,-85.7719
Frannie,Wyoming,159,44.971,-108.621
Fraser,Colorado,1326,39.9303,-105.803
Fraser,Iowa,103,42.1242,-93.9699
Fraser,Michigan,14480,42.5388,-82.9496
Frazee,Minnesota,1391,46.7282,-95.7026
Frazeysburg,Ohio,1316,40.1191,-82.1177
Frederic,Wisconsin,1089,45.6548,-92.4647
Frederica,Delaware,849,39.008,-75.4667
Frederick,Colorado,13960,40.1089,-104.969
Frederick,Kansas,19,38.5127,-98.2673
Frederick,Maryland,72244,39.4336,-77.4141
Frederick,Oklahoma,3545,34.3709,-99.001
Frederick,South Dakota,196,45.832,-98.5069
Fredericksburg,Iowa,923,42.9648,-92.1965
Fredericksburg,Ohio,412,40.677,-81.8697
Fredericksburg,Texas,11496,30.2661,-98.8749
Fredericksburg,Virginia,29036,38.2992,-77.4872
Fredericktown,Missouri,3984,37.5643,-90.2987
Fredericktown,Ohio,2525,40.4784,-82.5485
Frederika,Iowa,203,42.8835,-92.3054
Fredonia,Arizona,1281,36.9617,-112.519
Fredonia,Iowa,235,41.2844,-91.3397
Fredonia,Kansas,2225,37.5328,-95.8223
Fredonia,Kentucky,396,37.2085,-88.0603
Fredonia,New York,10303,42.4407,-79.3319
Fredonia,North Dakota,42,46.3292,-99.0957
Fredonia,Wisconsin,2253,43.4715,-87.9489
Free Soil,Michigan,144,44.1072,-86.2109
Freeborn,Minnesota,274,43.7659,-93.5645
Freeburg,Illinois,4242,38.4398,-89.917
Freeburg,Missouri,423,38.3164,-91.9223
Freedom,Oklahoma,291,36.768,-99.1131
Freeman,Missouri,485,38.6215,-94.5057
Freeman,South Dakota,1275,43.35,-97.4288
Freeman Spur,Illinois,279,37.8611,-88.9993
Freeport,Florida,2566,30.5039,-86.139
Freeport,Illinois,23775,42.2893,-89.6347
Freeport,Kansas,4,37.1989,-97.8542
Freeport,Michigan,500,42.7642,-85.316
Freeport,Minnesota,669,45.6627,-94.6888
Freeport,New York,42956,40.6515,-73.585
Freeport,Ohio,350,40.2109,-81.2686
Freeport,Texas,12136,28.9454,-95.3601
Freer,Texas,2666,27.8823,-98.6181
Freeville,New York,490,42.5114,-76.3457
Freistatt,Missouri,161,37.0213,-93.8977
Fremont,California,241110,37.5265,-121.985
Fremont,Indiana,2190,41.728,-84.9396
Fremont,Iowa,721,41.2126,-92.4342
Fremont,Michigan,4080,43.463,-85.9541
Fremont,Nebraska,26383,41.4396,-96.4879
Fremont,North Carolina,1262,35.5436,-77.9751
Fremont,Ohio,15917,41.3536,-83.1148
Fremont,Wisconsin,1280,44.2602,-88.8715
Fremont Hills,Missouri,922,37.0645,-93.253
French Camp,Mississippi,165,33.2931,-89.3993
French Lick,Indiana,1777,38.5462,-86.6202
French Settlement,Louisiana,1192,30.3159,-90.8033
Frenchburg,Kentucky,545,37.9542,-83.6226
Fresno,California,531576,36.7831,-119.794
Friars Point,Mississippi,1015,34.368,-90.6379
Friday Harbor,Washington,2562,48.5324,-123.066
Fridley,Minnesota,27826,45.0841,-93.2595
Friend,Nebraska,965,40.6505,-97.2838
Friendly,West Virginia,121,39.5137,-81.0617
Friendship,Arkansas,190,34.2243,-93.0037
Friendship,Oklahoma,22,34.6978,-99.2287
Friendship,Tennessee,664,35.9084,-89.2414
Friendship,Wisconsin,2646,43.972,-89.8202
Friendsville,Maryland,479,39.6624,-79.4044
Friendsville,Tennessee,903,35.7563,-84.1319
Friendswood,Texas,40290,29.5111,-95.1979
Fries,Virginia,446,36.714,-80.9752
Friesland,Wisconsin,345,43.5886,-89.0669
Friona,Texas,3808,34.6394,-102.723
Frisco,Colorado,3174,39.5792,-106.092
Frisco,Texas,200490,33.1555,-96.8215
Frisco City,Alabama,1153,31.4353,-87.4037
Fritch,Texas,1952,35.6431,-101.596
Frohna,Missouri,245,37.6375,-89.6197
Froid,Montana,203,48.338,-104.491
Fromberg,Montana,464,45.3921,-108.907
Front Royal,Virginia,15278,38.926,-78.1838
Frontenac,Kansas,3388,37.4583,-94.7018
Frontenac,Missouri,3543,38.6301,-90.419
Frontier,North Dakota,213,46.8002,-96.8332
Frost,Minnesota,182,43.5846,-93.9248
Frost,Texas,641,32.0788,-96.8086
Frostburg,Maryland,8505,39.6506,-78.9269
Frostproof,Florida,3261,27.7493,-81.5252
Fruit Heights,Utah,6221,41.0277,-111.908
Fruita,Colorado,13478,39.1549,-108.731
Fruitdale,South Dakota,68,44.6692,-103.695
Fruithurst,Alabama,280,33.7297,-85.4312
Fruitland,Idaho,5426,44.0195,-116.922
Fruitland,Iowa,982,41.3475,-91.1288
Fruitland,Maryland,5309,38.3214,-75.6246
Fruitland Park,Florida,10730,28.86,-81.919
Fruitport,Michigan,1149,43.1248,-86.1561
Fruitvale,Texas,428,32.6834,-95.8036
Fulda,Minnesota,1208,43.8691,-95.6023
Fullerton,California,138632,33.8841,-117.928
Fullerton,Nebraska,1222,41.3648,-97.9725
Fullerton,North Dakota,53,46.1632,-98.4272
Fulshear,Texas,13914,29.693,-95.8792
Fulton,Alabama,246,31.7916,-87.7397
Fulton,Arkansas,195,33.6126,-93.8137
Fulton,Illinois,3315,41.865,-90.1593
Fulton,Indiana,327,40.9467,-86.2641
Fulton,Kansas,155,38.0098,-94.7196
Fulton,Kentucky,2120,36.5145,-88.8819
Fulton,Mississippi,3980,34.2616,-88.4021
Fulton,Missouri,12596,38.8551,-91.9511
Fulton,New York,11102,43.3171,-76.4162
Fulton,Ohio,255,40.4629,-82.828
Fulton,South Dakota,96,43.7288,-97.8226
Fulton,Texas,1487,28.0706,-97.0428
Fultondale,Alabama,9284,33.6177,-86.8015
Fultonham,Ohio,161,39.8557,-82.1408
Fultonville,New York,783,42.9463,-74.3704
Fults,Illinois,28,38.1644,-90.2128
Funk,Nebraska,183,40.463,-99.2508
Funkley,Minnesota,8,47.7869,-94.4267
Funkstown,Maryland,871,39.6088,-77.7082
Funston,Georgia,450,31.1989,-83.8771
Fuquay-Varina,North Carolina,30324,35.5958,-78.7794
Furman,South Carolina,218,32.6812,-81.1877
Fyffe,Alabama,1045,34.4496,-85.9049
Gaastra,Michigan,325,46.0557,-88.605
Gackle,North Dakota,273,46.6264,-99.1412
Gadsden,Alabama,35000,34.009,-86.0156
Gadsden,Tennessee,464,35.7767,-88.9861
Gaffney,South Carolina,12609,35.0742,-81.6558
Gage,Oklahoma,408,36.3182,-99.7578
Gagetown,Michigan,363,43.6572,-83.2449
Gahanna,Ohio,35483,40.0251,-82.8637
Gaines,Michigan,358,42.8725,-83.9108
Gainesboro,Tennessee,959,36.3618,-85.6496
Gainesville,Alabama,183,32.8149,-88.1608
Gainesville,Florida,133997,29.6804,-82.3458
Gainesville,Georgia,43232,34.2903,-83.8301
Gainesville,Missouri,723,36.6063,-92.4245
Gainesville,Texas,16886,33.6391,-97.1488
Gaithersburg,Maryland,67985,39.1346,-77.2132
Galatia,Illinois,880,37.8414,-88.6148
Galatia,Kansas,36,38.6411,-98.9578
Galax,Virginia,6347,36.6661,-80.9176
Galena,Illinois,3158,42.4218,-90.4293
Galena,Kansas,2858,37.0751,-94.6353
Galena,Maryland,582,39.3425,-75.8787
Galena,Missouri,437,36.8054,-93.4709
Galena,Ohio,742,40.2218,-82.8812
Galena Park,Texas,10757,29.7452,-95.2333
Galesburg,Illinois,30197,40.9506,-90.3763
Galesburg,Kansas,119,37.4721,-95.3563
Galesburg,Michigan,2081,42.2911,-85.4182
Galesburg,North Dakota,102,47.2701,-97.4087
Galestown,Maryland,133,38.5633,-75.715
Galesville,Wisconsin,1596,44.0839,-91.358
Galien,Michigan,529,41.8015,-86.4995
Galion,Ohio,9982,40.7385,-82.7792
Gallatin,Missouri,1749,39.9106,-93.9642
Gallatin,Tennessee,42918,36.3782,-86.4696
Gallatin,Texas,434,31.8968,-95.152
Gallaway,Tennessee,647,35.3274,-89.6066
Gallipolis,Ohio,3556,38.8186,-82.1934
Gallup,New Mexico,21493,35.5183,-108.742
Galt,California,26536,38.2693,-121.3
Galt,Iowa,31,42.693,-93.6051
Galt,Missouri,247,40.1272,-93.388
Galva,Illinois,2478,41.1689,-90.0375
Galva,Iowa,419,42.5059,-95.4177
Galva,Kansas,876,38.3836,-97.538
Galveston,Indiana,1259,40.5767,-86.1924
Galveston,Texas,50446,29.2487,-94.891
Gamaliel,Kentucky,358,36.6402,-85.7963
Gambier,Ohio,2486,40.3764,-82.3949
Gamewell,North Carolina,3996,35.8637,-81.5979
Ganado,Texas,2055,29.0413,-96.511
Gandy,Nebraska,31,41.4698,-100.458
Gans,Oklahoma,301,35.3874,-94.695
Gantt,Alabama,215,31.4092,-86.4842
Garber,Iowa,85,42.7445,-91.2617
Garber,Oklahoma,807,36.4365,-97.581
Garden,Michigan,211,45.773,-86.5529
Garden City,Alabama,501,34.0152,-86.752
Garden City,Colorado,267,40.3948,-104.689
Garden City,Georgia,8713,32.0868,-81.1773
Garden City,Idaho,11969,43.6526,-116.274
Garden City,Kansas,26408,37.9754,-100.853
Garden City,Michigan,26408,42.3244,-83.3412
Garden City,Missouri,1638,38.5629,-94.1958
Garden City,New York,22454,40.7266,-73.6447
Garden City,South Dakota,58,44.9592,-97.5806
Garden City,Utah,617,41.937,-111.412
Garden Grove,California,171644,33.7787,-117.96
Garden Grove,Iowa,197,40.8264,-93.6073
Garden Plain,Kansas,909,37.663,-97.6789
Garden Ridge,Texas,4130,29.6379,-98.2927
Gardena,California,59329,33.8944,-118.307
Gardena,North Dakota,28,48.7012,-100.498
Gardendale,Alabama,14177,33.6678,-86.8069
Gardiner,Maine,5653,44.191,-69.7921
Gardner,Illinois,1381,41.1931,-88.3146
Gardner,Kansas,22031,38.8158,-94.93
Gardner,Massachusetts,20683,42.5845,-71.9867
Gardner,North Dakota,74,47.1445,-96.9686
Garfield,Arkansas,578,36.4554,-93.9757
Garfield,Georgia,201,32.6495,-82.0962
Garfield,Kansas,169,38.077,-99.2445
Garfield,Minnesota,350,45.9387,-95.4942
Garfield,New Jersey,31802,40.8791,-74.1085
Garfield,Washington,609,47.0103,-117.139
Garfield Heights,Ohio,27448,41.4199,-81.6038
Garibaldi,Oregon,822,45.5607,-123.911
Garland,Arkansas,236,33.3609,-93.7142
Garland,Nebraska,213,40.9446,-96.9855
Garland,North Carolina,617,34.7859,-78.3947
Garland,Tennessee,298,35.5818,-89.7526
Garland,Texas,239928,32.91,-96.6305
Garland,Utah,2590,41.7361,-112.163
Garnavillo,Iowa,724,42.8662,-91.2364
Garner,Arkansas,285,35.1418,-91.781
Garner,Iowa,3033,43.1,-93.6026
Garner,North Carolina,31407,35.6934,-78.6196
Garnett,Kansas,3235,38.2845,-95.2408
Garretson,South Dakota,1147,43.7149,-96.5026
Garrett,Illinois,158,39.7973,-88.4246
Garrett,Indiana,6413,41.3526,-85.1238
Garrett,Texas,892,32.3681,-96.6543
Garrett Park,Maryland,1049,39.036,-77.0934
Garrettsville,Ohio,2315,41.2843,-81.0933
Garrison,Iowa,360,42.1451,-92.1442
Garrison,Minnesota,207,46.2992,-93.8262
Garrison,Nebraska,51,41.1754,-97.1633
Garrison,North Dakota,1462,47.6533,-101.422
Garrison,Texas,873,31.8252,-94.4932
Garvin,Minnesota,131,44.2142,-95.7607
Garvin,Oklahoma,255,33.9559,-94.9348
Garwin,Iowa,493,42.0935,-92.6791
Gary,Indiana,74879,41.5906,-87.3472
Gary,Minnesota,202,47.3725,-96.2656
Gary,South Dakota,229,44.7941,-96.4574
Gary,West Virginia,788,37.362,-81.5408
Gary City,Texas,300,32.0277,-94.3679
Garysburg,North Carolina,918,36.4479,-77.5603
Gas,Kansas,501,37.9229,-95.3453
Gas City,Indiana,5772,40.4889,-85.5946
Gasconade,Missouri,215,38.6702,-91.5599
Gascoyne,North Dakota,15,46.119,-103.079
Gassaway,West Virginia,846,38.6702,-80.7717
Gassville,Arkansas,2158,36.285,-92.4868
Gaston,Indiana,873,40.314,-85.501
Gaston,North Carolina,1020,36.4965,-77.6449
Gaston,Oregon,722,45.4348,-123.145
Gaston,South Carolina,1699,33.818,-81.0997
Gastonia,North Carolina,77273,35.2494,-81.1853
Gate,Oklahoma,87,36.8517,-100.055
Gate City,Virginia,1869,36.6401,-82.5782
Gates,Oregon,513,44.7561,-122.42
Gates,Tennessee,612,35.8407,-89.4081
Gates Mills,Ohio,2217,41.5316,-81.41
Gatesville,North Carolina,299,36.4072,-76.7566
Gatesville,Texas,12401,31.4419,-97.7351
Gateway,Arkansas,477,36.4854,-93.9365
Gatlinburg,Tennessee,3860,35.725,-83.4938
Gattman,Mississippi,88,33.8849,-88.2367
Gauley Bridge,West Virginia,553,38.1681,-81.2038
Gautier,Mississippi,18490,30.4106,-88.6568
Gay,Georgia,81,33.0937,-84.5755
Gaylesville,Alabama,141,34.2681,-85.5586
Gaylord,Kansas,105,39.6463,-98.8473
Gaylord,Michigan,3685,45.0213,-84.6803
Gaylord,Minnesota,2207,44.5555,-94.2123
Gays,Illinois,254,39.4581,-88.4963
Gays Mills,Wisconsin,511,43.322,-90.8489
Gayville,South Dakota,396,42.8889,-97.1739
Gearhart,Oregon,1634,46.0289,-123.917
Geary,Oklahoma,1265,35.5927,-98.2914
Geddes,South Dakota,207,43.254,-98.6974
Geiger,Alabama,151,32.8698,-88.313
Gem,Kansas,85,39.426,-100.897
Gem Lake,Minnesota,500,45.0579,-93.0405
Gene Autry,Oklahoma,165,34.3151,-97.0385
Genesee,Idaho,965,46.5516,-116.928
Geneseo,Illinois,6495,41.4508,-90.154
Geneseo,Kansas,257,38.517,-98.1545
Geneva,Alabama,4289,31.0437,-85.8763
Geneva,Georgia,96,32.5789,-84.5516
Geneva,Illinois,21809,41.8832,-88.3242
Geneva,Indiana,1359,40.5975,-84.9568
Geneva,Iowa,153,42.6748,-93.1298
Geneva,Minnesota,537,43.8226,-93.2683
Geneva,Nebraska,2086,40.5308,-97.5974
Geneva,New York,12631,42.8644,-76.9827
Geneva,Ohio,5937,41.8006,-80.9461
Geneva-on-the-Lake,Ohio,1199,41.8562,-80.9493
Genoa,Colorado,148,39.2782,-103.498
Genoa,Illinois,5237,42.0926,-88.6964
Genoa,Nebraska,948,41.4462,-97.7322
Genoa,Ohio,2277,41.5204,-83.3619
Genoa,Wisconsin,796,43.5735,-91.2261
Genoa City,Wisconsin,2985,42.5065,-88.3192
Genola,Minnesota,67,45.9653,-94.1129
Genola,Utah,1567,40.0117,-111.846
Gentry,Arkansas,4023,36.257,-94.4907
Gentry,Missouri,70,40.3326,-94.4233
Gentryville,Indiana,265,38.1091,-87.0315
George,Iowa,1042,43.342,-96.0027
George,Washington,516,47.0846,-119.86
George West,Texas,2562,28.33,-98.1183
Georgetown,Arkansas,132,35.1267,-91.4539
Georgetown,Colorado,1112,39.7181,-105.694
Georgetown,Delaware,7563,38.6894,-75.3872
Georgetown,Idaho,494,42.4789,-111.364
Georgetown,Illinois,3185,39.9774,-87.6354
Georgetown,Indiana,3371,38.2958,-85.9628
Georgetown,Kentucky,34992,38.2249,-84.5482
Georgetown,Louisiana,320,31.7597,-92.3821
Georgetown,Minnesota,126,47.0784,-96.7959
Georgetown,Mississippi,268,31.8698,-90.1648
Georgetown,Ohio,4243,38.8683,-83.8993
Georgetown,South Carolina,8742,33.3595,-79.2958
Georgetown,Texas,79604,30.6668,-97.6953
Georgiana,Alabama,1608,31.6391,-86.7468
